"","Spe","lma.leaflet","thick.vile","ldmc","A","Vcmax","gs","gm","wue","Rdark","PC2","PC1"
"61","hab",74.80275391,322.0604071,0.232263117,13.39531,20.17781,0.1902357,0.07606087,70.4142808105944,2.72,0.752681450100643,-2.00775696293451
"62","hab",71.15904972,333.0063507,0.213686765,13.47496,21.34461,0.2665746,0.06626305,50.5485518875392,3.14,1.57578491435199,-1.93681183781659
"63","hab",52.56479786,290.4331749,0.180987581,20.16182,32.23979,0.2299077,0.1542463,87.6952794534502,3.22,-1.12106912939126,0.618097293842005
"64","hab",62.68909727,296.9255122,0.211127352,16.33321,28.84923,0.1971457,0.1071414,82.8484212437806,1.74,-0.210503304486826,-0.307007145959823
"65","hab",56.29587463,283.4183394,0.198631728,14.3893,25.32957,0.1679995,0.09487209,85.6508501513397,2.23,-0.373778197587772,-0.875562817771849
"67","per",45.09665252,235.778054,0.191267388,17.15795,23.18403,0.1631917,0.2126416,105.139844734751,2.15,-0.879661236145553,0.632213665653867
"68","per",54.28161062,250.5788347,0.216624882,21.54435,20.5228,0.273019,0.2437552,78.9115409550251,1.07,0.944848315121772,1.3610711994472
"69","per",48.1288274,253.5364205,0.189830034,20.82187,21.37117,0.219135,0.3517123,95.0184589408356,1.36,-0.260693080744629,1.55405802551438
"70","per",39.15000308,236.5639336,0.165494387,28.37925,24.83815,0.3945243,0.5864177,71.9328315138003,1.35,0.43655676319064,3.53060149418327
"71","gal",55.86810185,275.6850768,0.20265189,9.827599,16.4712843588187,0.197507,0.04712553,49.7582313538254,3.02919708,1.799651291348,-2.73791600355361
"72","gal",88.41981824,424.7322398,0.208177788,14.39277,17.23234,0.3203584,0.07215582,44.9270879115391,2.76849642,2.11540036093226,-2.37570645203717
"73","gal",56.80805681,312.6305325,0.181709881,22.70935,28.04015,0.4000237,0.1399749,56.7700113768259,1.279904306,1.18711546679209,1.13103026386298
"74","gal",28.60356387,182.498117,0.156733474,18.09013,14.52427,0.3312803,0.1108251,54.6067182383015,1.801000556,2.16029210859628,1.15090483026524
"75","gal",61.24413428,327.8165834,0.186824393,11.85739,14.84319,0.1771493,0.06574661,66.9344445617341,1.820403177,0.923692886198046,-2.34791565474101
"76","che",40.12939325,222.4281119,0.180415114,11.66418,19.61371,0.2113845,0.05301168,55.1799209497385,1.754227734,1.61134316472796,-1.10609953306617
"77","che",NA,NA,NA,15.84121,22.72495,0.2319819,0.08276484,68.2864051031568,0.430107527,0,0
"78","che",38.25774585,221.7532306,0.172523962,16.02581,24.41637,0.2512972,0.08292424,63.7723380921077,2.393472348,0.781504216751799,0.215564350312639
"79","che",44.01845935,247.5270575,0.17783292,17.75627,22.16134,0.2647956,0.100262,67.0565145342294,1.622377622,0.94463666985879,0.347355261772402
"80","che",39.66860914,236.4469997,0.16776956,21.23754,32.66632,0.2214102,0.1661031,95.9194291861892,1.404151404,-1.0109459418185,1.81071016468088
"81","raP",66.52925365,290.236976,0.229223907,21.22244,26.69077,0.2452676,0.1744853,86.5276946486205,2.77,-0.084283206101742,0.457119207644489
"82","raP",40.15128491,243.3313714,0.165006611,26.29224,31.74386,0.3001274,0.2358437,87.6035976721885,2.86,-0.86139206838092,2.33901557884264
"83","raP",74.90084444,314.9450575,0.23782194,21.88404,18.26489,0.2690556,0.1750361,81.3364969916998,1.56,1.00397674156428,0.151573598958925
"84","raP",69.18452914,300.7942453,0.230006159,16.18349,21.87678,0.1320062,0.1824628,122.596438652124,1.28,-1.00087824285351,-0.490946937247997
"85","raP",57.44866754,267.8881566,0.214450195,22.39851,34.2091,0.1732704,0.348587,129.269107706798,0.942,-1.84116496292805,2.01466697992356
"86","raN",43.79863715,272.2330583,0.160886549,13.93274,16.84234,0.18255,0.08525604,76.322870446453,1.52,0.362122916868076,-0.946636131758223
"87","raN",47.50496172,277.9624566,0.170904238,21.12676,22.42675,0.3244745,0.145485,65.1106943688949,2.73,0.689261477077332,0.667064393997978
"88","raN",30.33081356,276.6375443,0.109640988,17.61182,20.51968,0.2594033,0.1205824,67.8935850083634,3.6,-0.570378555754737,0.148949433357684
"89","raN",50.55357999,262.1760342,0.19282304,18.52642,23.84385,0.2542897,0.1343327,72.855565915568,2.03,0.52406735465236,0.430766116453158
"90","raN",54.04014411,363.7408108,0.148567723,13.52405,16.29027,0.1994951,0.08186092,67.7913893624455,1.85,0.284107334345276,-1.79731548959644
"91","rom",44.85086775,305.6219696,0.146752761,20.7908,23.56408,0.3290597,0.129181,63.1824559494827,3.11,0.250911891851734,0.405287316308355
"92","rom",51.27397728,256.8211559,0.199648573,17.12888,17.98362,0.2819429,0.09764626,60.7530106273291,2.09,1.65101001951619,-0.235867145395539
"93","rom",63.82220639,364.6043184,0.175045119,15.6365,19.57313,0.2874137,0.07794147,54.4041567955877,2.36,1.23244916915012,-1.41483697979206
"94","rom",65.26519011,339.0610076,0.192488044,19.76406,21.15943,0.3977162,0.1073643,49.6938771918267,1.96,1.95234291235099,-0.167234431624427
"95","rom",47.84758773,246.0709419,0.194446314,20.5787,24.02781,0.2862303,0.1302295,71.8956029462988,2.35,0.700996237126481,0.801028704793246
