sample,site,latitude,longitude,species.name,species.code,author.citation,section,shade,vegetation.type,microtopographical.position,HC_mg_g,sphagn_litter_mg_g,sphagn_HC_mg_g,phenolics_TA_mg_g,phenolics_PHBA_mg_g,KL_mg_g,CEC_meq_g,N_mg_g,C_mg_g,CNratio,PO4_mg_g,abs_ratio_205_280,solubleKL_mg_g,totalKL_mg_g,solubleKL_perc_of_totalKL,dev_100perc,HWT2012,losslab2b,lossfield
FU1,Kulflyten,59.90254,15.83353,Sphagnum_fuscum,FU_1,(Schimp.) H.Klinggr.,Acutifolia,1open,Open bog,Hummock,678.716,48.87243022,72.00720072,6.5430,8.9966,351.5215,0.9182,4.4534,451.4170,101.3636,0.1962,2.24,38.83229137,390.3538024,9.94797313,6.906967701,260,2.126332412,-3.074369212
FU11,Glon,60.51752,17.92301,Sphagnum_fuscum,FU_2,(Schimp.) H.Klinggr.,Acutifolia,1open,Rich fen,Hummock,671.084,44.64800618,66.53114027,11.2253,15.4348,297.5709,0.7821,5.6311,445.8252,104.9565,0.2579,2.29,41.81884143,339.3896916,12.32177714,1.047402898,350,19.79893999,12.91109028
FU12,Glon,60.51752,17.92301,Sphagnum_fuscum,FU_2,(Schimp.) H.Klinggr.,Acutifolia,1open,Rich fen,Hummock,683.927,58.08944069,84.93518105,9.4687,13.0194,338.1443,0.8709,5.3846,450.3846,123.8333,0.2667,2.29,42.00244307,380.146773,11.04900687,6.40735036,385,17.55771936,51.05967481
FU13,Glon,60.51752,17.92301,Sphagnum_fuscum,FU_2,(Schimp.) H.Klinggr.,Acutifolia,1open,Rich fen,Hummock,697.576,45.93533432,65.84992343,11.2610,15.4838,275.4065,0.8694,4.8170,451.8304,109.5000,0.3960,2.16,41.22965052,316.6361546,13.02114428,1.421227811,345,19.26483816,
FU15,Glon,60.51752,17.92301,Sphagnum_fuscum,FU_2,(Schimp.) H.Klinggr.,Acutifolia,1open,Rich fen,Hummock,662.449,48.2492367,72.83464567,12.5154,17.2086,322.9814,0.8735,5.8140,453.4884,108.6667,0.2753,2.37,41.99790488,364.9792713,11.5069288,2.742825093,215,17.414133,12.67116593
FU16,Glon,60.51752,17.92301,Sphagnum_fuscum,FU_2,(Schimp.) H.Klinggr.,Acutifolia,1open,Rich fen,Hummock,677.105,39.81166297,58.79692447,11.3116,15.5534,331.9545,0.8558,4.3233,453.7594,128.0556,0.2333,2.30,43.79666735,375.7511658,11.65576353,5.285567983,170,13.21102271,22.09432359
FU2,Kulflyten,59.90254,15.83353,Sphagnum_fuscum,FU_1,(Schimp.) H.Klinggr.,Acutifolia,1open,Open bog,Hummock,680.363,39.5076286,58.06845966,6.9947,9.6177,374.2394,0.9188,3.6511,452.1298,79.1724,0.1559,2.23,36.83326472,411.0726156,8.960281789,9.143556718,180,7.768872354,-9.789177689
FU4,Kulflyten,59.90254,15.83353,Sphagnum_fuscum,FU_1,(Schimp.) H.Klinggr.,Acutifolia,1open,Open bog,Hummock,674.255,46.02425035,68.25938567,7.4576,10.2542,311.4583,0.9073,4.0650,445.1220,83.6429,0.1768,2.27,42.08081505,353.5391484,11.90273135,2.7794416,220,12.28600112,-5.393884567
FU5,Kulflyten,59.90254,15.83353,Sphagnum_fuscum,FU_1,(Schimp.) H.Klinggr.,Acutifolia,1open,Open bog,Hummock,695.674,,,7.2857,10.0179,353.0612,0.9008,4.1667,452.7778,93.8000,0.1957,2.29,41.39793481,394.4591593,10.49485956,9.013278983,280,8.607218408,-1.601193595
FU6,Kulflyten,59.90254,15.83353,Sphagnum_fuscum,FU_1,(Schimp.) H.Klinggr.,Acutifolia,1open,Open bog,Hummock,688.972,52.32698676,75.94936709,8.3529,11.4852,369.8770,0.9221,3.5363,452.8487,78.0000,0.1185,2.23,41.332088,411.2091372,10.05135447,10.01811295,320,14.19121847,-4.333971826
FX10,Kulflyten,59.90254,15.83353,Sphagnum_fallax,FA,(H.Klinggr.) H.Klinggr.,Cuspidata,1open,Lagg fen,Lawn,676.777,35.204361,52.01765448,3.9525,5.4347,129.2017,0.6070,5.0813,443.0894,88.8400,0.2301,1.98,52.33379152,181.5354722,28.82841072,-14.16873576,130,51.13125813,44.90803666
FX5,Kulflyten,59.90254,15.83353,Sphagnum_fallax,FA,(H.Klinggr.) H.Klinggr.,Cuspidata,1open,Lagg fen,Lawn,651.283,32.93223096,50.5651398,4.0328,5.5451,106.5150,0.5764,6.3265,438.7755,87.2000,0.3303,1.90,46.94622416,153.461219,30.5915882,-19.52554841,110,58.08333992,45.89786964
FX6,Kulflyten,59.90254,15.83353,Sphagnum_fallax,FA,(H.Klinggr.) H.Klinggr.,Cuspidata,1open,Lagg fen,Lawn,657.817,37.86285796,57.55831566,3.9477,5.4281,102.7749,0.5949,5.5446,439.4059,69.3548,0.3130,1.96,51.32240354,154.0973265,33.30518752,-18.80853361,65,41.53893419,29.53704913
FX7,Kulflyten,59.90254,15.83353,Sphagnum_fallax,FA,(H.Klinggr.) H.Klinggr.,Cuspidata,1open,Lagg fen,Lawn,665.758,36.96433774,55.52220888,4.9137,6.7564,227.8481,0.6287,5.5877,441.0405,79.2500,0.2575,1.95,39.64326923,267.4913705,14.82039183,-6.67509357,80,40.50348243,26.08580853
FX9,Kulflyten,59.90254,15.83353,Sphagnum_fallax,FA,(H.Klinggr.) H.Klinggr.,Cuspidata,1open,Lagg fen,Lawn,618.246,29.22926845,47.27771847,3.4798,4.7847,125.6545,0.6038,4.9505,439.8020,78.9310,0.1955,1.90,48.92008748,174.5745377,28.02246428,-20.71792906,105,44.29967323,23.07987929
GR2,Kulflyten,59.90254,15.83353,Sphagnum_girgensohnii,GI,Russow,Acutifolia,3dark,Spruce forest,Hummock,696.913,36.1415765,51.85953475,5.3695,7.3831,232.8205,0.8812,7.3620,441.7178,60.0000,0.6199,2.24,47.97553651,280.7960493,17.08554541,-2.229109409,,36.4427785,25.34395887
GR6,Kulflyten,59.90254,15.83353,Sphagnum_girgensohnii,GI,Russow,Acutifolia,3dark,Spruce forest,Hummock,699.578,45.89071593,65.59766764,3.9332,5.4082,372.9167,0.8061,7.8156,437.2745,55.9487,1.0016,2.32,34.17943868,407.0961053,8.395913946,10.66745749,240,42.00095298,43.01104896
GR7,Kulflyten,59.90254,15.83353,Sphagnum_girgensohnii,GI,Russow,Acutifolia,3dark,Spruce forest,Hummock,719.193,43.93820674,61.09372672,5.7215,7.8671,278.9744,0.8322,8.8477,438.4774,49.5581,1.1254,2.40,41.66916992,320.6435289,12.99548132,3.983695682,150,57.55692397,59.37719203
GR8,Kulflyten,59.90254,15.83353,Sphagnum_girgensohnii,GI,Russow,Acutifolia,3dark,Spruce forest,Hummock,697.523,,,5.5676,7.6554,233.3333,0.7343,9.1837,441.8367,48.1111,0.8837,2.40,46.869528,280.2028613,16.72699835,-2.227410206,250,45.12923063,27.39010135
GR9,Kulflyten,59.90254,15.83353,Sphagnum_girgensohnii,GI,Russow,Acutifolia,3dark,Spruce forest,Hummock,640.942,35.07808925,54.72892081,5.9214,8.1419,227.7020,0.7361,13.8067,435.3057,31.5286,1.6120,2.52,46.30931642,274.0113101,16.90051276,-8.504622787,,48.33683474,-3.416831683
LD1,Kulflyten,59.90254,15.83353,Sphagnum_lindbergii,LI,Lindb.,Cuspidata,1open,Open bog,Carpet,669.303,46.58261768,69.59869688,6.1800,8.4974,181.9116,0.6495,5.7540,452.3810,78.6207,0.1770,2.20,54.98407099,236.8956846,23.21024593,-9.380130012,55,26.21860308,-1.828877863
LD10,Kulflyten,59.90254,15.83353,Sphagnum_lindbergii,LI,Lindb.,Cuspidata,1open,Open bog,Carpet,667.241,33.56826049,50.30904125,4.8998,6.7372,290.9461,0.7930,5.6680,451.4170,53.6098,0.1944,2.10,41.44696824,332.3930517,12.46926433,-0.036583915,45,23.21914129,-3.876540972
LD5,Kulflyten,59.90254,15.83353,Sphagnum_lindbergii,LI,Lindb.,Cuspidata,1open,Open bog,Carpet,673.066,33.35510502,49.55699054,6.3104,8.6768,168.5744,0.5992,5.3537,448.9484,79.6429,0.1659,2.06,50.58794367,219.1623453,23.0824066,-10.77720657,30,34.38574314,
LD6,Kulflyten,59.90254,15.83353,Sphagnum_lindbergii,LI,Lindb.,Cuspidata,1open,Open bog,Carpet,668.277,30.8697422,46.19305511,5.3080,7.2985,203.2520,0.5900,7.5000,447.6923,83.8571,0.2115,2.17,50.51508173,253.7671142,19.9060788,-7.795619091,70,27.24615315,4.234229526
LD7,Kulflyten,59.90254,15.83353,Sphagnum_lindbergii,LI,Lindb.,Cuspidata,1open,Open bog,Carpet,625.830,32.42643825,51.8134715,5.8381,8.0274,289.4191,0.5860,8.3503,447.6578,59.6923,0.2213,2.24,43.99257457,333.4116617,13.19467182,-4.075807999,40,34.67262333,16.0281142
MG10,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_1,Brid.,Sphagnum,2semi,Pine bog,Hummock,679.750,40.09143572,58.97965202,5.6873,7.8201,281.1861,0.7332,10.5590,456.3147,78.2414,0.1943,2.44,44.65548272,325.8415768,13.70466076,0.559186942,45,20.8355286,9.696122727
MG13,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_2,Brid.,Sphagnum,1open,Open bog,Lawn-carpet,653.944,56.2559153,86.02561652,5.9110,8.1276,269.2308,0.5066,6.2382,446.1248,88.2800,0.4378,2.25,41.81412555,311.0448948,13.44311585,-3.501134316,310,22.65901112,11.25889139
MG14,Kulflyten,59.90254,15.83353,Sphagnum_magellanicum,MG_2,Brid.,Sphagnum,1open,Open bog,Lawn-carpet,654.945,50.68087142,77.38191198,6.2083,8.5363,264.4628,0.7482,6.0976,446.3415,73.9677,0.4298,2.24,41.67367551,306.1364854,13.61277649,-3.891883664,350,32.82861779,30.82454056
