year,Au_sum_cdd,Au_sum_hdd,Au_sum_precip,Au_mean_pdsi,Au_mean_avg_temp,Au_mean_max_temp,Au_mean_min_temp,Sp_sum_cdd,Sp_sum_hdd,Sp_sum_precip,Sp_mean_pdsi,Sp_mean_avg_temp,Sp_mean_max_temp,Sp_mean_min_temp,Su_sum_cdd,Su_sum_hdd,Su_sum_precip,Su_mean_pdsi,Su_mean_avg_temp,Su_mean_max_temp,Su_mean_min_temp,Wi_sum_cdd,Wi_sum_hdd,Wi_sum_precip,Wi_mean_pdsi,Wi_mean_avg_temp,Wi_mean_max_temp,Wi_mean_min_temp,Au_sum_cdd_prev,Au_sum_hdd_prev,Au_sum_precip_prev,Au_mean_pdsi_prev,Au_mean_avg_temp_prev,Au_mean_max_temp_prev,Au_mean_min_temp_prev
2009,0,2136,14.100000000000001,3.5666666666666664,40.9,49.5,32.36666666666667,32,824,13.59,1.7866666666666666,56.03333333333333,66.16666666666666,45.86666666666667,341,170,15.41,3.8833333333333333,66.13333333333333,76.2,56.03333333333333,0,3255,8.61,2.73,27.9,37.7,18.1,0,2201,13.72,3.546666666666667,40.13333333333333,49.6,30.733333333333334
2010,0,2203,14.37,0.7066666666666667,40.1,48.833333333333336,31.333333333333336,136,595,7.69,-1.53,59.5,71.23333333333333,47.766666666666666,550,62,9.24,-2.3733333333333335,69.6,80.46666666666667,58.666666666666664,0,2867,18.33,3.6966666666666668,32.2,40.2,24.200000000000003,0,2136,14.100000000000001,3.5666666666666664,40.9,49.5,32.36666666666667
2011,0,1792,15.469999999999999,1.5,44.6,54.13333333333333,35.06666666666667,75,767,14.48,1.1766666666666667,57.13333333333333,67.06666666666666,47.166666666666664,504,60,19.259999999999998,2.4066666666666667,69.16666666666667,79.2,59.1,0,3247,11.62,0.7733333333333333,27.766666666666666,37.63333333333333,17.9,0,2203,14.37,0.7066666666666667,40.1,48.833333333333336,31.333333333333336
2012,0,1992,11.25,-0.9333333333333333,42.46666666666667,50.733333333333334,34.2,81,680,11.76,-2.21,58.03333333333333,68.73333333333333,47.333333333333336,516,106,12.809999999999999,-1.6033333333333333,68.8,79.66666666666667,57.8,0,2522,5.96,-1.2166666666666666,36.03333333333333,45.56666666666667,26.566666666666666,0,1792,15.469999999999999,1.5,44.6,54.13333333333333,35.06666666666667
2013,0,2218,9.24,-0.66,40,49.733333333333334,30.233333333333334,108,794,16.939999999999998,0.4066666666666667,57,68.36666666666667,45.56666666666666,480,141,10.93,-0.04666666666666667,67.93333333333334,78.46666666666667,57.46666666666667,0,3023,9.28,-1.0033333333333334,30.266666666666666,38.5,22.066666666666666,0,1992,11.25,-0.9333333333333333,42.46666666666667,50.733333333333334,34.2
2014,0,1998,16.53,1.09,42.266666666666666,50.333333333333336,34.166666666666664,82,838,10.43,0.35666666666666663,56.333333333333336,67.60000000000001,45.06666666666666,361,118,11.02,0.07999999999999999,66.9,77.76666666666667,56.03333333333333,0,3448,12.12,0.39,25.400000000000002,35.3,15.5,0,2218,9.24,-0.66,40,49.733333333333334,30.233333333333334
2015,0,1713,11.16,-1.4966666666666666,45.53333333333333,55.1,35.9,73,771,10.08,-1.3533333333333333,56.96666666666667,68.53333333333333,45.43333333333333,516,39,10.290000000000001,-1.2733333333333334,69.43333333333334,80.8,58.06666666666667,0,3750,9.86,0.32,21.9,32.3,11.5,0,1998,16.53,1.09,42.266666666666666,50.333333333333336,34.166666666666664
2016,0,2043,11.120000000000001,-3.4366666666666665,41.800000000000004,51.3,32.3,87,865,7.6899999999999995,-1.9366666666666665,56.1,67.53333333333333,44.63333333333333,579,55,7.8100000000000005,-3.3533333333333335,69.89999999999999,81.23333333333333,58.56666666666666,0,2754,10.21,-1.3633333333333333,33.46666666666667,43.166666666666664,23.8,0,1713,11.16,-1.4966666666666666,45.53333333333333,55.1,35.9
2017,11,2085,11.38,-0.19000000000000003,41.46666666666667,50.800000000000004,32.1,82,762,15.74,0.89,57.13333333333333,67.43333333333334,46.83333333333333,382,69,9.780000000000001,0.7433333333333334,67.7,78.1,57.3,0,2885,9.92,-2.8633333333333333,32,40.833333333333336,23.166666666666668,0,2043,11.120000000000001,-3.4366666666666665,41.800000000000004,51.3,32.3
2018,0,2204,17.61,3.3200000000000003,40.1,48.1,32.03333333333333,85,860,11.09,0.23,55.96666666666667,66.8,45.166666666666664,629,47,18.5,0.9433333333333334,70.66666666666667,80.16666666666666,61.166666666666664,0,2952,13.83,0.78,31.2,39.96666666666667,22.4,11,2085,11.38,-0.19000000000000003,41.46666666666667,50.800000000000004,32.1
