Site,Replicate plot,CWM_SLA,CMW_Root,CMW_Hmax,CMW_RS,CMW_LeafN,CMW_RootN,CMW_Leafd15N,CMW_Leafd13C,CMW_Rootd15N,lnSilt,lnPrimprod,,,,,,,,,,,,,,,,,,,,,,,,,
I2,4,0.075,-0.713,0.949,-0.681,0.420,-0.281,0.233,0.138,-0.217,1.238,3.226,,,,,,,,,,,,,,,,,,,,,,,,,
I2,5,0.566,-0.313,0.520,-0.088,-0.811,0.426,-0.307,0.158,0.334,1.238,3.340,,,,,,,,,,,,,,,,,,,,,,,,,
I3,1,-0.211,1.453,0.577,1.578,0.000,0.000,nd,nd,nd,1.441,4.518,,,,,,,,,,,,,,,,,,,,,,,,,
I3,2,0.847,-0.747,-1.732,0.120,-1.414,1.414,nd,nd,nd,1.441,4.947,,,,,,,,,,,,,,,,,,,,,,,,,
I3,3,0.757,-0.141,0.577,-0.324,0.000,0.000,nd,nd,nd,1.441,4.858,,,,,,,,,,,,,,,,,,,,,,,,,
I3,4,-1.617,0.475,0.577,-0.216,0.000,0.000,nd,nd,nd,1.441,4.410,,,,,,,,,,,,,,,,,,,,,,,,,
I3,5,0.224,-1.041,0.000,-1.158,1.414,-1.414,nd,nd,nd,1.441,3.315,,,,,,,,,,,,,,,,,,,,,,,,,
I4,1,0.810,-0.964,1.513,-1.163,-1.209,-1.222,-1.133,1.188,-1.217,0.996,3.657,,,,,,,,,,,,,,,,,,,,,,,,,
I4,2,0.440,1.536,0.521,-0.679,-0.970,-0.956,-1.053,0.993,-0.961,0.996,4.233,,,,,,,,,,,,,,,,,,,,,,,,,
I4,3,0.730,-0.821,-0.851,-0.068,0.623,0.655,0.665,-0.624,0.624,0.996,2.081,,,,,,,,,,,,,,,,,,,,,,,,,
I4,4,-1.563,0.175,-0.675,1.378,0.797,0.805,0.829,-0.803,0.795,0.996,3.019,,,,,,,,,,,,,,,,,,,,,,,,,
I4,5,-0.417,0.074,-0.509,0.532,0.758,0.719,0.691,-0.754,0.758,0.996,2.236,,,,,,,,,,,,,,,,,,,,,,,,,
I5,1,-0.220,-1.132,-0.865,-0.136,-0.145,-1.072,1.340,-1.012,1.355,1.480,1.480,,,,,,,,,,,,,,,,,,,,,,,,,
I5,2,1.765,-0.562,-0.545,-1.201,1.062,1.583,-1.361,0.193,-1.379,1.480,1.790,,,,,,,,,,,,,,,,,,,,,,,,,
I5,3,-0.628,1.019,-0.754,-0.327,0.677,0.243,-0.201,-0.288,-0.297,1.480,1.365,,,,,,,,,,,,,,,,,,,,,,,,,
I5,4,-0.357,-0.417,0.933,1.556,-1.546,-0.350,-0.267,1.613,-0.086,1.480,2.764,,,,,,,,,,,,,,,,,,,,,,,,,
I5,5,-0.560,1.091,1.231,0.107,-0.047,-0.404,0.490,-0.506,0.407,1.480,2.201,,,,,,,,,,,,,,,,,,,,,,,,,
I6,1,1.636,-0.407,-1.131,0.080,0.413,-0.189,0.449,-0.408,-0.856,1.174,3.524,,,,,,,,,,,,,,,,,,,,,,,,,
I6,2,-0.247,1.403,-0.185,-1.575,-1.536,0.031,-1.625,1.650,0.510,1.174,3.381,,,,,,,,,,,,,,,,,,,,,,,,,
I6,3,-0.160,-0.904,-0.092,0.172,0.475,0.557,0.426,-0.458,1.194,1.174,3.472,,,,,,,,,,,,,,,,,,,,,,,,,
I6,4,-1.105,-0.769,-0.214,1.213,1.043,1.138,0.964,-0.937,0.357,1.174,3.527,,,,,,,,,,,,,,,,,,,,,,,,,
I6,5,-0.124,0.676,1.622,0.110,-0.395,-1.536,-0.215,0.153,-1.205,1.174,3.979,,,,,,,,,,,,,,,,,,,,,,,,,
I7,1,-1.027,-0.986,-0.657,-1.020,-0.700,-1.086,0.980,0.432,-1.077,0.936,0.832,,,,,,,,,,,,,,,,,,,,,,,,,
I7,2,-1.027,-0.986,0.805,-1.020,-0.700,-1.086,0.980,0.432,-1.077,0.936,1.722,,,,,,,,,,,,,,,,,,,,,,,,,
I7,3,1.246,1.206,-1.362,1.254,0.984,0.761,-1.122,-1.432,0.871,0.936,2.265,,,,,,,,,,,,,,,,,,,,,,,,,
I7,4,0.485,-0.011,1.012,0.531,-0.783,0.519,-0.903,1.125,0.420,0.936,3.171,,,,,,,,,,,,,,,,,,,,,,,,,
I7,5,0.323,0.777,0.202,0.254,1.199,0.892,0.065,-0.557,0.863,0.936,3.362,,,,,,,,,,,,,,,,,,,,,,,,,
I8,1,0.624,-0.102,-0.614,0.596,0.180,0.157,-0.341,-0.001,-0.004,1.485,3.917,,,,,,,,,,,,,,,,,,,,,,,,,
I8,2,1.266,-0.229,-0.786,0.610,0.667,0.240,-0.906,-0.132,-0.232,1.485,3.994,,,,,,,,,,,,,,,,,,,,,,,,,
I8,3,-0.084,-0.563,0.119,-0.507,0.888,-0.405,-0.278,-0.719,-0.712,1.485,4.279,,,,,,,,,,,,,,,,,,,,,,,,,
I8,4,-0.474,1.716,1.682,0.827,-1.652,1.374,-0.193,1.672,1.697,1.485,4.569,,,,,,,,,,,,,,,,,,,,,,,,,
I8,5,-1.333,-0.821,-0.402,-1.527,-0.083,-1.366,1.717,-0.819,-0.749,1.485,3.960,,,,,,,,,,,,,,,,,,,,,,,,,
I9,1,1.364,0.266,1.077,-0.763,-0.927,0.760,0.870,-0.866,0.716,1.168,2.938,,,,,,,,,,,,,,,,,,,,,,,,,
I9,2,-1.190,-1.390,-1.258,1.504,1.540,-1.465,-1.500,1.504,-1.464,1.168,3.810,,,,,,,,,,,,,,,,,,,,,,,,,
I9,3,0.427,1.387,-0.328,-0.811,-0.641,0.745,0.701,-0.697,0.745,1.168,2.583,,,,,,,,,,,,,,,,,,,,,,,,,
I9,4,-0.725,-0.275,-0.461,0.532,0.436,-0.620,-0.536,0.530,-0.627,1.168,2.798,,,,,,,,,,,,,,,,,,,,,,,,,
I9,5,0.124,0.013,0.969,-0.462,-0.408,0.581,0.464,-0.471,0.630,1.168,3.242,,,,,,,,,,,,,,,,,,,,,,,,,
